,open,close,high,low,volume,money,pre_close,avg
2016-01-04,14.56,13.25,14.72,13.25,4849821.0,67217072.0,14.72,13.86
2016-01-05,12.52,12.69,13.24,12.07,8199962.0,104210712.0,13.25,12.71
2016-01-06,12.7,13.07,13.11,12.7,4843023.0,62717700.0,12.69,12.95
2016-01-07,12.82,11.77,12.92,11.77,1594342.0,19274260.0,13.07,12.09
2016-01-08,12.05,11.74,12.29,10.9,5921625.0,70194968.0,11.77,11.85
2016-01-11,11.51,10.57,11.57,10.57,6269174.0,69457184.0,11.74,11.08
2016-01-12,10.33,10.59,10.77,10.26,5021672.0,53003748.0,10.57,10.55
2016-01-13,10.61,10.04,10.82,10.04,3994267.0,41997836.0,10.59,10.51
2016-01-14,9.79,10.5,10.58,9.66,6198592.0,63588320.0,10.04,10.26
2016-01-15,10.41,9.86,10.54,9.78,6925484.0,70461192.0,10.5,10.17
2016-01-18,9.59,10.09,10.28,9.51,4301488.0,43065592.0,9.86,10.01
2016-01-19,10.07,10.46,10.5,9.93,5629545.0,58060512.0,10.09,10.31
2016-01-20,10.32,10.47,10.7,10.32,5595907.0,58643292.0,10.46,10.48
2016-01-21,10.36,11.52,11.52,10.28,16401275.0,186207744.0,10.47,11.35
2016-01-22,11.47,11.67,11.9,10.99,20234447.0,231994768.0,11.52,11.46
2016-01-25,11.66,11.45,11.66,11.21,12203407.0,139639472.0,11.67,11.44
2016-01-26,11.21,10.31,11.21,10.31,9530890.0,102422728.0,11.45,10.75
2016-01-27,10.22,9.96,10.35,9.35,8413678.0,82579600.0,10.31,9.82
2016-01-28,9.79,8.97,9.91,8.97,5479343.0,51852244.0,9.96,9.46
2016-01-29,8.87,9.34,9.47,8.83,4957017.0,45772148.32,8.97,9.23
2016-02-01,9.3,9.13,9.39,8.92,3709858.0,34096176.09,9.34,9.19
2016-02-02,9.2,10.04,10.04,9.16,3739845.0,36878290.49,9.13,9.86
2016-02-03,10.31,10.14,10.31,9.68,9376988.0,94164259.12,10.04,10.04
2016-02-04,10.07,10.46,10.8,9.96,8925961.0,92516503.87,10.14,10.36
2016-02-05,10.51,10.19,10.55,10.14,4752028.0,48994305.6,10.46,10.31
2016-02-15,9.98,10.0,10.12,9.65,4148356.0,41111702.32,10.19,9.91
2016-02-16,10.1,10.45,10.57,10.1,5894113.0,61374821.51,10.0,10.41
2016-02-17,10.43,10.57,10.68,10.31,6270431.0,66030579.38,10.45,10.53
2016-02-18,10.71,10.49,10.92,10.48,6814961.0,72805697.46,10.57,10.68
2016-02-19,10.46,10.68,10.84,10.44,5490993.0,58518736.46,10.49,10.66
2016-02-22,10.85,10.84,10.93,10.71,7075053.0,76527214.1,10.68,10.82
2016-02-23,10.77,11.1,11.26,10.75,8531681.0,92979517.79,10.84,10.9
2016-02-24,11.02,10.87,11.09,10.55,6979118.0,75636671.28,11.1,10.84
2016-02-25,10.86,9.79,10.86,9.79,6828851.0,69812965.99,10.87,10.22
2016-02-26,10.11,9.82,10.11,9.6,4153616.0,40797611.5,9.79,9.82
2016-02-29,9.78,9.19,9.78,8.96,4710556.0,43567301.09,9.82,9.25
2016-03-01,9.26,9.55,9.67,9.16,3417081.0,32142249.04,9.19,9.41
2016-03-02,9.55,9.95,10.0,9.55,4572246.0,44941071.56,9.55,9.83
2016-03-03,9.92,9.82,10.17,9.81,5437184.0,54401684.1,9.95,10.01
2016-03-04,9.79,9.33,9.85,9.19,4095665.0,39048673.52,9.82,9.53
2016-03-07,9.36,9.55,9.72,9.36,2786969.0,26690886.09,9.33,9.58
2016-03-08,9.55,9.65,9.67,9.16,3961457.0,37411869.21,9.55,9.44
2016-03-09,9.55,9.5,9.63,9.41,2582909.0,24565368.75,9.65,9.51
2016-03-10,9.59,9.3,9.64,9.26,2178555.0,20599106.46,9.5,9.46
2016-03-11,9.21,9.43,9.44,9.17,2296589.0,21484501.69,9.3,9.35
2016-03-14,9.47,9.89,10.01,9.47,5250908.0,51655290.08,9.43,9.84
2016-03-15,9.83,9.88,9.97,9.79,3311996.0,32678406.4,9.89,9.87
2016-03-16,9.88,9.69,10.03,9.55,3087905.0,30304185.5,9.88,9.81
2016-03-17,9.74,10.07,10.1,9.69,5300578.0,52707823.2,9.69,9.94
