,open,close,high,low,volume,money,pre_close,avg
2018-01-02,4.39,4.5,4.62,4.35,411281251.0,1847257093.0,4.46,4.49
2018-01-03,4.42,4.44,4.49,4.32,374483092.0,1653315048.0,4.5,4.41
2018-01-04,4.35,4.51,4.57,4.23,623765771.0,2744447356.0,4.44,4.4
2018-01-05,4.44,4.4,4.54,4.38,326925090.0,1453642512.0,4.51,4.45
2018-01-08,4.32,4.36,4.41,4.3,262385223.0,1136866755.0,4.4,4.33
2018-01-09,4.36,4.31,4.41,4.3,224200283.0,974375975.0,4.36,4.35
2018-01-10,4.27,4.18,4.3,4.14,318692935.0,1341450191.0,4.31,4.21
2018-01-11,4.14,4.19,4.29,4.05,267453110.0,1119393155.0,4.18,4.19
2018-01-12,4.18,4.06,4.19,4.05,242596877.0,994597555.0,4.19,4.1
2018-01-15,4.01,3.85,4.01,3.82,241411052.0,941727413.0,4.06,3.9
2018-01-16,3.82,4.24,4.24,3.79,469869800.0,1960494346.0,3.85,4.17
2018-01-17,4.45,4.35,4.59,4.3,651133104.0,2897082204.0,4.24,4.45
2018-01-18,4.24,4.25,4.36,4.09,336673334.0,1415170080.0,4.35,4.2
2018-01-19,4.19,4.21,4.36,4.14,226530974.0,964069911.0,4.25,4.26
2018-01-22,4.17,4.12,4.17,4.05,175651907.0,722717536.0,4.21,4.11
2018-01-23,4.08,4.14,4.16,4.08,142131276.0,583765380.0,4.12,4.11
2018-01-24,4.17,4.15,4.27,4.09,178656833.0,746469838.0,4.14,4.18
2018-01-25,4.12,4.1,4.17,4.07,156057333.0,641572887.0,4.15,4.11
2018-01-26,4.07,4.07,4.12,4.06,115085567.0,468846438.0,4.1,4.07
2018-01-29,4.09,4.1,4.17,4.07,143229493.0,587471311.0,4.07,4.1
2018-01-30,4.15,4.14,4.17,4.09,151387276.0,625012351.0,4.1,4.13
2018-01-31,4.09,3.97,4.12,3.92,166212359.0,665785320.0,4.14,4.01
2018-02-01,3.98,3.85,3.99,3.81,137117370.0,532413051.0,3.97,3.88
2018-02-02,3.84,3.89,3.99,3.67,121815562.0,470623030.0,3.85,3.86
2018-02-05,3.79,3.81,3.85,3.75,83949849.0,319992410.0,3.89,3.81
2018-02-06,3.72,3.55,3.77,3.54,138055557.0,506800528.0,3.81,3.67
2018-02-07,3.62,3.58,3.68,3.45,107362065.0,384538734.0,3.55,3.58
2018-02-08,3.55,3.57,3.6,3.54,73921583.0,263843504.0,3.58,3.57
2018-02-09,3.48,3.34,3.48,3.3,127230740.0,430619289.0,3.57,3.38
2018-02-12,3.38,3.39,3.41,3.35,63337760.0,214601806.0,3.34,3.39
2018-02-13,3.41,3.39,3.45,3.38,65125699.0,222117999.0,3.39,3.41
2018-02-14,3.39,3.37,3.4,3.35,44134996.0,148661497.0,3.39,3.37
2018-02-22,3.39,3.43,3.45,3.38,63282964.0,216134442.0,3.37,3.42
2018-02-23,3.43,3.56,3.71,3.4,122762187.0,437599944.0,3.43,3.56
2018-02-26,3.55,3.63,3.66,3.54,101836249.0,367887658.0,3.56,3.61
2018-02-27,3.61,3.57,3.62,3.55,77669333.0,278012173.0,3.63,3.58
2018-02-28,3.54,3.56,3.6,3.5,61193301.0,217266425.0,3.57,3.55
2018-03-01,3.53,3.55,3.56,3.51,64266839.0,227488728.0,3.56,3.54
2018-03-02,3.51,3.57,3.66,3.5,95443497.0,341567797.0,3.55,3.58
2018-03-05,3.56,3.53,3.56,3.51,68675693.0,242355880.0,3.57,3.53
2018-03-06,3.53,3.59,3.61,3.52,100479421.0,357466926.0,3.53,3.56
2018-03-07,3.56,3.61,3.69,3.55,152965574.0,554084729.0,3.59,3.62
2018-03-08,3.56,3.6,3.65,3.54,102865729.0,369348462.0,3.61,3.59
2018-03-09,3.58,3.61,3.61,3.56,100849281.0,362186090.0,3.6,3.59
2018-03-12,3.61,3.61,3.64,3.59,99475612.0,358619585.0,3.61,3.61
2018-03-13,3.6,3.56,3.61,3.55,85299093.0,304777057.0,3.61,3.57
2018-03-14,3.55,3.54,3.6,3.54,68026016.0,241808921.0,3.56,3.55
2018-03-15,3.52,3.51,3.55,3.47,90569470.0,317442262.0,3.54,3.5
2018-03-16,3.5,3.46,3.52,3.45,66918309.0,233338350.0,3.51,3.49
2018-03-19,3.46,3.45,3.47,3.41,63487179.0,218182811.0,3.46,3.44
2018-03-20,3.4,3.45,3.46,3.39,63212630.0,216758648.0,3.45,3.43
2018-03-21,3.45,3.46,3.54,3.42,109555150.0,379574607.0,3.45,3.46
2018-03-22,3.44,3.41,3.45,3.4,71305972.0,244004135.0,3.46,3.42
2018-03-23,3.33,3.17,3.33,3.13,131632289.0,425767643.0,3.41,3.23
2018-03-26,3.1,3.15,3.17,2.97,78330509.0,241150473.0,3.17,3.08
2018-03-27,3.18,3.21,3.26,3.18,80864173.0,260126353.0,3.15,3.22
2018-03-28,3.16,3.18,3.24,3.13,57015835.0,181821076.0,3.21,3.19
2018-03-29,3.19,3.2,3.22,3.17,51433521.0,164187580.0,3.18,3.19
2018-03-30,3.22,3.18,3.22,3.18,47491733.0,151595800.0,3.2,3.19
2018-04-02,3.18,3.15,3.18,3.13,59191240.0,186961465.0,3.18,3.16
2018-04-03,3.09,3.07,3.1,3.05,59827380.0,183652124.0,3.15,3.07
2018-04-04,3.1,3.06,3.11,3.05,44009498.0,135321254.0,3.07,3.07
2018-04-09,3.03,3.03,3.05,3.0,44229697.0,133809691.0,3.06,3.03
2018-04-10,3.04,3.15,3.2,3.02,116145423.0,363314681.0,3.03,3.13
2018-04-11,3.13,3.11,3.14,3.1,64525980.0,201147215.0,3.15,3.12
2018-04-12,3.12,3.16,3.2,3.1,89708643.0,283195212.0,3.11,3.16
2018-04-13,3.14,3.17,3.19,3.14,60638880.0,191745180.0,3.16,3.16
2018-04-16,3.18,3.08,3.18,3.05,57196832.0,177893962.0,3.17,3.11
2018-04-17,3.07,3.02,3.09,3.0,57039551.0,173591794.0,3.08,3.04
2018-04-18,3.02,3.01,3.05,2.96,51116660.0,152848250.0,3.02,2.99
2018-04-19,3.01,3.02,3.02,2.98,41327822.0,124406536.0,3.01,3.01
2018-04-20,3.0,2.95,3.01,2.93,54200876.0,160753154.0,3.02,2.97
2018-04-23,2.95,2.91,2.96,2.89,39327996.0,114850949.0,2.95,2.92
2018-04-24,2.91,2.95,2.97,2.91,50113236.0,147563219.0,2.91,2.94
2018-04-25,2.92,2.94,2.95,2.91,33707264.0,98774454.0,2.95,2.93
2018-04-26,2.97,2.87,2.97,2.87,44396759.0,129381895.0,2.94,2.91
2018-04-27,2.88,2.86,2.9,2.85,36199213.0,103614746.0,2.87,2.86
2018-05-02,2.86,2.83,2.88,2.82,30590477.0,86862990.0,2.86,2.84
2018-05-03,2.82,2.81,2.83,2.76,51862478.0,144888487.0,2.83,2.79
2018-05-04,2.81,2.81,2.84,2.79,35767190.0,100817025.0,2.81,2.82
2018-05-07,2.81,2.85,2.85,2.81,37048748.0,104979263.0,2.81,2.83
2018-05-08,2.85,2.86,2.86,2.83,41820941.0,119205948.0,2.85,2.85
2018-05-09,2.86,2.83,2.86,2.81,32085844.0,90966201.0,2.86,2.84
2018-05-10,2.83,2.84,2.85,2.82,26080285.0,73927481.0,2.83,2.83
2018-05-11,2.83,2.81,2.84,2.81,28444803.0,80280537.0,2.84,2.82
2018-05-14,2.81,2.8,2.82,2.78,27565868.0,77308073.0,2.81,2.8
2018-05-15,2.79,3.07,3.07,2.76,164795905.0,494669093.0,2.8,3.0
2018-05-16,2.98,2.95,3.02,2.93,160277587.0,477471693.0,3.07,2.98
2018-05-17,2.93,2.9,2.95,2.89,64560366.0,187604508.0,2.95,2.91
2018-05-18,2.89,2.93,2.97,2.87,65670647.0,192055247.0,2.9,2.92
2018-05-21,2.94,2.96,2.97,2.92,62780012.0,184954419.0,2.93,2.95
2018-05-22,2.95,3.0,3.06,2.93,81101284.0,243231779.0,2.96,3.0
2018-05-23,2.97,3.03,3.11,2.96,117533318.0,357547034.0,3.0,3.04
2018-05-24,3.0,2.98,3.02,2.96,70767790.0,211226257.0,3.03,2.98
2018-05-25,2.96,2.94,2.97,2.92,44358635.0,130687913.0,2.98,2.95
2018-05-28,2.94,2.86,2.94,2.86,46448701.0,134170123.0,2.94,2.89
2018-05-29,2.86,2.87,2.91,2.86,36761317.0,105860591.0,2.86,2.88
2018-05-30,2.82,2.75,2.82,2.75,58907870.0,164445275.0,2.87,2.79
2018-05-31,2.76,2.81,2.81,2.76,34143986.0,95230980.0,2.75,2.79
2018-06-01,2.78,2.79,2.82,2.77,25795559.0,72041974.0,2.81,2.79
2018-06-04,2.81,2.84,2.86,2.81,39875221.0,113230660.0,2.79,2.84
2018-06-05,2.85,2.83,2.85,2.81,30692886.0,86598194.0,2.84,2.82
2018-06-06,2.81,2.88,2.93,2.81,49144355.0,140765222.0,2.83,2.86
2018-06-07,2.87,2.86,2.92,2.86,37582273.0,108375726.0,2.88,2.88
2018-06-08,2.86,2.85,2.86,2.82,37451657.0,106270910.0,2.86,2.84
2018-06-11,2.83,2.84,2.86,2.81,22563470.0,63990143.0,2.85,2.84
2018-06-12,2.85,2.85,2.86,2.81,23646621.0,67136341.0,2.84,2.84
2018-06-13,2.84,2.8,2.85,2.79,29477362.0,82958986.0,2.85,2.81
2018-06-14,2.78,2.8,2.81,2.76,21780807.0,60889157.0,2.8,2.8
2018-06-15,2.8,2.76,2.81,2.75,30167741.0,83638841.0,2.8,2.77
2018-06-19,2.73,2.56,2.73,2.49,66242962.0,172822551.0,2.76,2.61
2018-06-20,2.54,2.58,2.59,2.53,29437626.0,75590523.0,2.56,2.57
2018-06-21,2.58,2.55,2.61,2.54,31742536.0,81808027.0,2.58,2.58
2018-06-22,2.53,2.56,2.57,2.52,22549645.0,57569302.0,2.55,2.55
2018-06-25,2.59,2.58,2.6,2.57,23636276.0,61022501.0,2.56,2.58
2018-06-26,2.54,2.59,2.59,2.53,26519797.0,68113592.0,2.58,2.57
2018-06-27,2.61,2.58,2.62,2.57,21681439.0,56092898.0,2.59,2.59
2018-06-28,2.59,2.55,2.6,2.54,24610606.0,63233765.0,2.58,2.57
2018-06-29,2.54,2.6,2.61,2.54,35219208.0,90906825.0,2.55,2.58
2018-07-02,2.6,2.56,2.6,2.54,29615450.0,76222431.0,2.6,2.57
2018-07-03,2.56,2.58,2.58,2.54,23329051.0,59829463.0,2.56,2.56
2018-07-04,2.57,2.55,2.58,2.55,20736560.0,53176293.0,2.58,2.56
2018-07-05,2.55,2.48,2.57,2.47,31171394.0,78356299.0,2.55,2.51
2018-07-06,2.48,2.45,2.49,2.36,38369967.0,93542010.0,2.48,2.44
