,open,close,high,low,volume,money,pre_close,avg
2023-01-03,0.99,0.992,0.998,0.98,2376704778.0,2354515298.0,0.998,0.991
2023-01-04,0.992,0.986,0.996,0.983,699271925.0,692335768.0,0.992,0.99
2023-01-05,0.99,1.018,1.018,0.99,1832741962.0,1841186847.0,0.986,1.005
2023-01-06,1.014,1.031,1.041,1.014,864136256.0,888898327.0,1.018,1.029
2023-01-09,1.035,1.038,1.048,1.033,514919905.0,535294763.0,1.031,1.04
2023-01-10,1.037,1.055,1.058,1.036,346173981.0,362338953.0,1.038,1.047
2023-01-11,1.057,1.043,1.06,1.041,220683577.0,231685270.0,1.055,1.05
2023-01-12,1.044,1.049,1.059,1.044,196457783.0,206542355.0,1.043,1.051
2023-01-13,1.056,1.061,1.061,1.049,288107139.0,303917610.0,1.049,1.055
2023-01-16,1.049,1.082,1.094,1.049,277038617.0,299482449.0,1.061,1.081
2023-01-17,1.078,1.086,1.091,1.077,164060705.0,178188082.0,1.082,1.086
2023-01-18,1.086,1.083,1.09,1.08,233277917.0,253144720.0,1.086,1.085
2023-01-19,1.081,1.093,1.093,1.078,193443249.0,210273907.0,1.083,1.087
2023-01-20,1.097,1.102,1.104,1.094,197242633.0,216863945.0,1.093,1.099
2023-01-30,1.137,1.115,1.143,1.114,278416039.0,313074578.0,1.102,1.124
2023-01-31,1.115,1.099,1.117,1.096,163976099.0,181725390.0,1.115,1.108
2023-02-01,1.1,1.114,1.114,1.097,198165806.0,218952712.0,1.099,1.105
2023-02-02,1.12,1.107,1.121,1.105,185873140.0,206607503.0,1.114,1.112
2023-02-03,1.102,1.093,1.107,1.083,199836507.0,218370220.0,1.107,1.093
2023-02-06,1.09,1.078,1.09,1.069,236539403.0,254525141.0,1.093,1.076
2023-02-07,1.078,1.076,1.084,1.069,223940566.0,240833492.0,1.078,1.075
2023-02-08,1.076,1.072,1.082,1.07,279826102.0,301337703.0,1.076,1.077
2023-02-09,1.072,1.088,1.089,1.066,260036031.0,281213382.0,1.072,1.081
2023-02-10,1.087,1.08,1.088,1.072,253666127.0,273922915.0,1.088,1.08
2023-02-13,1.08,1.087,1.09,1.072,236624478.0,256598482.0,1.08,1.084
2023-02-14,1.089,1.084,1.092,1.078,261659068.0,282824535.0,1.087,1.081
2023-02-15,1.084,1.072,1.089,1.071,275952688.0,297028523.0,1.084,1.076
2023-02-16,1.072,1.059,1.081,1.051,212821264.0,227937384.0,1.072,1.071
2023-02-17,1.059,1.032,1.061,1.03,247189433.0,258160105.0,1.059,1.044
2023-02-20,1.023,1.043,1.044,1.019,215372326.0,221688687.0,1.032,1.029
2023-02-21,1.042,1.037,1.043,1.03,236510971.0,245387207.0,1.043,1.038
2023-02-22,1.033,1.029,1.037,1.024,200512388.0,206559827.0,1.037,1.03
2023-02-23,1.029,1.033,1.037,1.028,246208010.0,254054695.0,1.029,1.032
2023-02-24,1.034,1.018,1.035,1.014,243869968.0,248960065.0,1.033,1.021
2023-02-27,1.013,1.009,1.019,1.005,314346976.0,317843003.0,1.018,1.011
2023-02-28,1.016,1.017,1.02,1.007,314215688.0,318463135.0,1.009,1.014
2023-03-01,1.014,1.022,1.025,1.009,304285912.0,309950457.0,1.017,1.019
2023-03-02,1.02,1.012,1.022,1.007,281735729.0,285557911.0,1.022,1.014
2023-03-03,1.014,1.013,1.018,1.005,275356524.0,278443657.0,1.012,1.011
2023-03-06,1.015,1.016,1.018,0.997,290344064.0,292518813.0,1.013,1.007
2023-03-07,1.015,0.999,1.017,0.998,308600711.0,311178858.0,1.016,1.008
2023-03-08,0.999,0.992,1.002,0.989,410787691.0,408271552.0,0.999,0.994
2023-03-09,0.995,0.993,1.0,0.989,373044422.0,370823588.0,0.992,0.994
2023-03-10,0.99,0.994,1.002,0.984,269349126.0,267210793.0,0.993,0.992
2023-03-13,0.995,0.986,0.996,0.981,223267822.0,220114318.0,0.994,0.986
2023-03-14,0.982,0.976,0.984,0.96,230638110.0,224186090.0,0.986,0.972
2023-03-15,0.978,0.974,0.99,0.972,236608318.0,231727399.0,0.976,0.979
2023-03-16,0.969,0.96,0.972,0.958,272322139.0,262930982.0,0.974,0.966
2023-03-17,0.965,0.953,0.967,0.95,293331752.0,280784215.0,0.96,0.957
2023-03-20,0.954,0.954,0.964,0.944,274363854.0,261608618.0,0.953,0.954
2023-03-21,0.961,0.975,0.975,0.956,311198031.0,300337539.0,0.954,0.965
2023-03-22,0.975,0.972,0.984,0.967,296303701.0,288874668.0,0.975,0.975
2023-03-23,0.971,0.977,0.978,0.966,281416043.0,273930579.0,0.972,0.973
2023-03-24,0.977,0.985,0.985,0.972,291516837.0,285344498.0,0.977,0.979
2023-03-27,0.982,0.989,0.99,0.976,337238901.0,332265870.0,0.985,0.985
2023-03-28,0.989,0.976,0.989,0.975,274728903.0,269294100.0,0.989,0.98
2023-03-29,0.976,0.983,0.984,0.976,259596844.0,254673547.0,0.976,0.981
2023-03-30,0.98,0.985,0.986,0.975,294056002.0,288432616.0,0.983,0.981
2023-03-31,0.986,0.986,0.993,0.984,382066167.0,377720473.0,0.985,0.989
2023-04-03,0.986,1.002,1.004,0.986,374585534.0,372875313.0,0.986,0.995
2023-04-04,1.001,0.99,1.001,0.982,425573931.0,419988465.0,1.002,0.987
2023-04-06,0.987,0.987,0.988,0.978,499653619.0,491039179.0,0.99,0.983
2023-04-07,0.985,0.996,1.002,0.985,451322338.0,449728268.0,0.987,0.996
2023-04-10,1.0,1.002,1.006,0.995,270195809.0,270626112.0,0.996,1.002
2023-04-11,1.0,0.999,1.013,0.995,213694710.0,214415558.0,1.002,1.003
2023-04-12,0.999,0.994,1.0,0.989,220864209.0,219532710.0,0.999,0.994
2023-04-13,0.992,0.986,0.992,0.984,203685387.0,201145540.0,0.994,0.988
2023-04-14,0.985,0.995,0.998,0.985,217149222.0,215627941.0,0.986,0.993
2023-04-17,0.995,1.001,1.004,0.992,159325202.0,159155837.0,0.995,0.999
2023-04-18,1.0,0.999,1.008,0.996,176566738.0,176631879.0,1.001,1.0
2023-04-19,0.997,0.991,0.997,0.989,191909214.0,190499487.0,0.999,0.993
2023-04-20,0.991,0.972,0.991,0.97,191437600.0,186909995.0,0.991,0.976
2023-04-21,0.973,0.958,0.979,0.955,239165814.0,231803492.0,0.972,0.969
2023-04-24,0.957,0.937,0.957,0.93,324222710.0,304764958.0,0.958,0.94
2023-04-25,0.939,0.915,0.94,0.909,390495436.0,358865325.0,0.937,0.919
2023-04-26,0.915,0.939,0.943,0.909,488257400.0,454563136.0,0.915,0.931
2023-04-27,0.937,0.943,0.947,0.932,250407600.0,235551501.0,0.939,0.941
2023-04-28,0.945,0.947,0.953,0.939,208305802.0,196677275.0,0.943,0.944
2023-05-04,0.944,0.933,0.946,0.932,308831331.0,289535299.0,0.947,0.938
2023-05-05,0.93,0.927,0.933,0.92,227396001.0,210766338.0,0.933,0.927
2023-05-08,0.926,0.931,0.931,0.918,224659901.0,207951926.0,0.927,0.926
2023-05-09,0.93,0.92,0.932,0.918,345024232.0,319182381.0,0.931,0.925
2023-05-10,0.919,0.931,0.935,0.909,465911000.0,429784866.0,0.92,0.922
2023-05-11,0.93,0.945,0.949,0.927,223937006.0,210613778.0,0.931,0.941
2023-05-12,0.941,0.93,0.947,0.93,187497741.0,175798814.0,0.945,0.938
2023-05-15,0.931,0.948,0.95,0.931,313453404.0,295575227.0,0.93,0.943
2023-05-16,0.954,0.95,0.955,0.945,238285700.0,226291416.0,0.948,0.95
2023-05-17,0.949,0.948,0.953,0.942,223312400.0,211262272.0,0.95,0.946
2023-05-18,0.948,0.937,0.949,0.93,233094057.0,218588054.0,0.948,0.938
2023-05-19,0.933,0.938,0.942,0.93,216285882.0,202630420.0,0.937,0.937
2023-05-22,0.938,0.938,0.944,0.932,235725503.0,220967499.0,0.938,0.937
2023-05-23,0.938,0.93,0.94,0.926,182005601.0,170082564.0,0.938,0.934
2023-05-24,0.925,0.925,0.934,0.922,193616500.0,179492706.0,0.93,0.927
2023-05-25,0.923,0.924,0.929,0.918,245760606.0,226931081.0,0.925,0.923
2023-05-26,0.924,0.914,0.924,0.907,315322415.0,288210337.0,0.924,0.914
2023-05-29,0.914,0.9,0.916,0.897,256197100.0,231193550.0,0.914,0.902
2023-05-30,0.899,0.904,0.908,0.891,248504800.0,223454543.0,0.9,0.899
2023-05-31,0.904,0.895,0.904,0.89,241649401.0,216447225.0,0.904,0.896
2023-06-01,0.894,0.9,0.907,0.89,239126505.0,215789913.0,0.895,0.902
2023-06-02,0.902,0.911,0.915,0.901,258049604.0,234773202.0,0.9,0.91
2023-06-05,0.913,0.895,0.913,0.893,272172505.0,243885384.0,0.911,0.896
2023-06-06,0.895,0.884,0.895,0.882,237614202.0,211055929.0,0.895,0.888
