,open,close,high,low,volume,money,pre_close,avg
2022-01-04,7.15,7.19,7.45,7.11,16388301.0,118901787.0,7.17,7.26
2022-01-05,7.23,7.03,7.29,6.97,9794810.0,69666944.0,7.19,7.11
2022-01-06,7.04,6.9,7.07,6.86,8674572.0,59938060.0,7.03,6.91
2022-01-07,6.94,6.78,7.48,6.75,19030048.0,135075052.0,6.9,7.1
2022-01-10,6.77,6.81,6.88,6.68,6324215.0,42989324.0,6.78,6.8
2022-01-11,6.86,6.87,7.02,6.82,6711080.0,46462115.0,6.81,6.92
2022-01-12,6.86,6.95,7.0,6.84,3928073.0,27247135.0,6.87,6.94
2022-01-13,6.94,6.89,7.01,6.89,3349352.0,23271170.0,6.95,6.95
2022-01-14,6.88,6.82,6.96,6.8,4225644.0,29071383.0,6.89,6.88
2022-01-17,6.78,6.98,7.03,6.78,3658985.0,25441359.0,6.82,6.95
2022-01-18,6.95,6.89,7.08,6.86,4893475.0,33967492.0,6.98,6.94
2022-01-19,6.85,7.01,7.05,6.84,4569835.0,32015338.0,6.89,7.01
2022-01-20,6.98,6.8,7.03,6.75,5663969.0,38877004.0,7.01,6.86
2022-01-21,6.74,6.83,6.95,6.74,2967800.0,20380712.0,6.8,6.87
2022-01-24,6.8,6.71,6.82,6.68,3644504.0,24538538.0,6.83,6.73
2022-01-25,6.68,6.32,6.84,6.27,6424857.0,41944716.0,6.71,6.53
2022-01-26,6.41,6.47,6.54,6.34,2970172.0,19198532.0,6.32,6.46
2022-01-27,6.54,6.21,6.54,6.19,3583107.0,22522126.0,6.47,6.29
2022-01-28,6.22,6.28,6.38,6.19,1939206.0,12224932.0,6.21,6.3
2022-02-07,6.31,6.43,6.45,6.24,2440056.0,15550616.0,6.28,6.37
2022-02-08,6.4,6.64,6.65,6.36,3650400.0,23852274.0,6.43,6.53
2022-02-09,6.61,6.75,6.77,6.6,2364583.0,15908276.0,6.64,6.73
2022-02-10,6.78,6.77,6.8,6.66,2023547.0,13624209.0,6.75,6.73
2022-02-11,6.74,6.73,6.8,6.71,1892256.0,12766082.0,6.77,6.75
2022-02-14,6.74,6.77,6.8,6.67,1564079.0,10568533.0,6.73,6.76
2022-02-15,6.75,6.7,6.81,6.63,1942131.0,13040047.0,6.77,6.71
2022-02-16,6.76,6.77,6.82,6.71,2117553.0,14314779.0,6.7,6.76
2022-02-17,6.8,6.72,6.83,6.71,2545138.0,17213711.0,6.77,6.76
2022-02-18,6.69,6.76,6.8,6.67,2580053.0,17391112.0,6.72,6.74
2022-02-21,6.73,6.83,6.84,6.72,1920678.0,13048179.0,6.76,6.79
2022-02-22,6.8,6.8,6.85,6.71,2432130.0,16453160.0,6.83,6.76
2022-02-23,6.81,6.77,6.81,6.74,2017403.0,13684961.0,6.8,6.78
2022-02-24,6.75,6.7,6.8,6.45,4491926.0,30091391.0,6.77,6.7
2022-02-25,6.73,6.76,6.82,6.7,2579916.0,17436494.0,6.7,6.76
2022-02-28,6.71,6.64,6.79,6.59,2275243.0,15126467.0,6.76,6.65
2022-03-01,6.66,6.67,6.67,6.54,2012149.0,13297475.0,6.64,6.61
2022-03-02,6.63,6.68,6.71,6.59,1529933.0,10169237.0,6.67,6.65
2022-03-03,6.7,6.68,6.75,6.62,1645191.0,11006313.0,6.68,6.69
2022-03-04,6.69,6.8,6.82,6.66,3166979.0,21433803.0,6.68,6.77
2022-03-07,6.81,6.77,6.86,6.74,3077234.0,20976024.0,6.8,6.82
2022-03-08,6.77,6.65,6.79,6.51,4430739.0,29404061.0,6.77,6.64
2022-03-09,6.64,6.59,6.69,6.33,3740300.0,24600406.0,6.65,6.58
2022-03-10,6.66,6.81,6.9,6.6,4047773.0,27505256.0,6.59,6.8
2022-03-11,6.76,6.81,6.82,6.61,2705573.0,18158896.0,6.81,6.71
2022-03-14,6.8,6.74,6.81,6.72,1448190.0,9790788.0,6.81,6.76
2022-03-15,6.68,6.52,6.68,6.39,4479542.0,29282624.0,6.74,6.54
2022-03-16,6.54,6.53,6.61,6.33,4067829.0,26145686.0,6.52,6.43
2022-03-17,6.6,6.43,6.62,6.42,2695944.0,17587429.0,6.53,6.52
2022-03-18,6.47,6.69,6.73,6.38,3385515.0,22310841.0,6.43,6.59
2022-03-21,6.63,6.5,6.74,6.43,4026243.0,26266246.0,6.69,6.52
2022-03-22,6.5,6.53,6.57,6.4,1959461.0,12707485.0,6.5,6.48
2022-03-23,6.54,6.56,6.56,6.49,1017918.0,6653724.0,6.53,6.54
2022-03-24,6.53,6.46,6.6,6.44,2164479.0,14084161.0,6.56,6.51
2022-03-25,6.44,6.46,6.52,6.43,1188780.0,7693916.0,6.46,6.47
2022-03-28,6.43,6.51,6.53,6.4,826319.0,5352664.0,6.46,6.48
2022-03-29,6.55,6.69,6.87,6.38,5302393.0,35292957.0,6.51,6.66
2022-03-30,6.55,6.49,6.57,6.42,4493296.0,29102733.0,6.69,6.48
2022-03-31,6.45,6.61,6.66,6.42,3983766.0,26140855.0,6.49,6.56
2022-04-01,6.58,6.64,6.78,6.55,2955818.0,19711984.0,6.61,6.67
2022-04-06,6.67,6.8,6.84,6.67,4741876.0,32195401.0,6.64,6.79
2022-04-07,6.79,6.68,6.85,6.68,2822352.0,19081382.0,6.8,6.76
2022-04-08,6.66,6.72,6.77,6.59,2295561.0,15376929.0,6.68,6.7
2022-04-11,6.73,6.64,6.75,6.55,2978321.0,19762638.0,6.72,6.64
2022-04-12,6.67,6.69,6.7,6.54,2328996.0,15439609.0,6.64,6.63
2022-04-13,6.68,6.65,6.78,6.6,2790344.0,18715396.0,6.69,6.71
2022-04-14,6.65,6.68,6.73,6.62,1972645.0,13195988.0,6.65,6.69
2022-04-15,6.62,6.62,6.68,6.57,2409248.0,15973226.0,6.68,6.63
2022-04-18,6.6,6.75,6.77,6.55,2524359.0,16919955.0,6.62,6.7
2022-04-19,6.73,6.8,6.81,6.7,2920099.0,19716121.0,6.75,6.75
2022-04-20,6.8,6.73,6.83,6.68,2491189.0,16831112.0,6.8,6.76
2022-04-21,6.7,6.5,6.73,6.49,2619756.0,17309098.0,6.73,6.61
2022-04-22,6.5,6.28,6.5,6.23,2949909.0,18688287.0,6.5,6.34
2022-04-25,6.24,5.94,6.27,5.82,4432749.0,26374778.0,6.28,5.95
2022-04-26,5.94,5.73,5.99,5.68,3258420.0,18954790.0,5.94,5.82
2022-04-27,5.7,5.9,5.99,5.57,2431788.0,14040483.0,5.73,5.77
2022-04-28,5.77,5.83,5.94,5.64,3041084.0,17595537.0,5.9,5.79
2022-04-29,5.88,5.96,6.04,5.82,2965138.0,17590627.0,5.83,5.93
2022-05-05,5.92,6.02,6.08,5.9,1507474.0,9075621.0,5.96,6.02
2022-05-06,5.93,5.99,6.05,5.91,1564460.0,9364135.0,6.02,5.99
2022-05-09,6.05,6.09,6.15,5.96,1435552.0,8730934.0,5.99,6.08
2022-05-10,6.04,6.1,6.11,5.99,969214.0,5883502.0,6.09,6.07
2022-05-11,6.15,5.99,6.17,5.98,2392281.0,14584682.0,6.1,6.1
2022-05-12,5.99,6.05,6.06,5.92,1184352.0,7116952.0,5.99,6.01
2022-05-13,6.04,6.05,6.09,6.01,967453.0,5847463.0,6.05,6.04
2022-05-16,6.11,6.09,6.11,6.02,1135259.0,6892941.0,6.05,6.07
2022-05-17,6.11,6.07,6.11,5.96,1044728.0,6299292.0,6.09,6.03
2022-05-18,6.06,6.06,6.11,6.01,1274569.0,7714199.0,6.07,6.05
2022-05-19,6.05,6.0,6.05,5.93,1161507.0,6953543.0,6.06,5.99
2022-05-20,6.02,6.05,6.08,5.99,1414243.0,8531046.0,6.0,6.03
